date,day as a number,Physical distancing-Closure of educational institutions-Daycare nursery,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,Case management and quarantine-Contact tracing-Mobile technology,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Workplace measures-Teleworking,Case management and quarantine-Contact tracing-Other,Case management and quarantine-Quarantine-For contacts,General-Exemptions to NPIs-Vaccination proof,Hygiene and safety measure-Other-Not applicable,Physical distancing-Measures for special populations-Visiting restrictions,Physical distancing-Closure of educational institutions-Higher Education,International travel-Quarantine for international travellers-Not applicable,Physical distancing-Public gathering restriction-Ban on all events,International travel-Border screening-PCR/rapid antigen testing,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of educational institutions-Secondary School,Physical distancing-Closure of educational institutions-Primary School,Hygiene and safety measure-Protective mask use community-Closed public spaces,Hygiene and safety measure-Protective mask use community-All public spaces,Case management and quarantine-Isolation of case-Not applicable,Physical distancing-Public gathering restriction-Indoor over 500,General-Communication to the public-Not applicable,General-Communication to healthcare services-Not applicable,Physical distancing-Public gathering restriction-Indoor over 100,Physical distancing-Public gathering restriction-Outdoor over 500,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Closure of public spaces-Non essential shops,Internal travel-Travel restrictions-Cordon sanitaire
2020-08-20,172,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-21,173,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-22,174,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-23,175,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-24,176,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-25,177,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-26,178,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-27,179,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-28,180,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-29,181,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-30,182,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-08-31,183,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-01,184,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-02,185,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-03,186,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-04,187,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-05,188,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-06,189,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-07,190,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-08,191,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-09,192,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-10,193,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-11,194,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-12,195,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-13,196,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-14,197,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-15,198,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-16,199,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-17,200,0,0,1,0,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-18,201,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-19,202,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-20,203,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-21,204,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-22,205,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-23,206,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-24,207,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-25,208,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-26,209,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-27,210,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-28,211,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-29,212,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-09-30,213,0,0,1,2,0,1,1,1,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-01,214,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-02,215,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-03,216,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-04,217,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-05,218,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-06,219,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-07,220,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-08,221,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-09,222,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-10,223,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-11,224,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-12,225,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-13,226,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-14,227,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-15,228,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-16,229,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-17,230,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-18,231,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-19,232,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-20,233,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-21,234,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-22,235,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-23,236,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-24,237,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-25,238,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-26,239,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-27,240,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-28,241,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,0,0,2,1,0
2020-10-29,242,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-10-30,243,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-10-31,244,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-01,245,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-02,246,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-03,247,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-04,248,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-05,249,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-06,250,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-07,251,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-08,252,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-09,253,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-10,254,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-11,255,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-12,256,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-13,257,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-14,258,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-15,259,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-16,260,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-17,261,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-18,262,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-19,263,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-20,264,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-21,265,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-22,266,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-23,267,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-24,268,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-25,269,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-26,270,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-27,271,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-28,272,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-29,273,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-11-30,274,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-01,275,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-02,276,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-03,277,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-04,278,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-05,279,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-06,280,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-07,281,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-08,282,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-09,283,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-10,284,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-11,285,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-12,286,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-13,287,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-14,288,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-15,289,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-16,290,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-17,291,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-18,292,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-19,293,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-20,294,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-21,295,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-22,296,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-23,297,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-24,298,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-25,299,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-26,300,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-27,301,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-28,302,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-29,303,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-30,304,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2020-12-31,305,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-01,306,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-02,307,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-03,308,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-04,309,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-05,310,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-06,311,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-07,312,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-08,313,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-09,314,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-10,315,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-11,316,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-12,317,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-13,318,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-14,319,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-15,320,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-16,321,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-17,322,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-18,323,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-19,324,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-20,325,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-21,326,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-22,327,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-23,328,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-24,329,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-25,330,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-26,331,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-27,332,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-28,333,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-29,334,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-30,335,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-01-31,336,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-01,337,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-02,338,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-03,339,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-04,340,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-05,341,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-06,342,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-07,343,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-08,344,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-09,345,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-10,346,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-11,347,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-12,348,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-13,349,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-14,350,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-15,351,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-16,352,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
2021-02-17,353,0,0,1,2,0,1,1,1,2,2,2,0,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,1,0
